centro_salud,estado_geografico,municipio,tipo
Hospital Dr. Pedro Iturbe (General Del S Ur),Zulia,Maracaibo,IV
Hospital Dr. Senen Castillo Reverol,Zulia,Santa Rita,I
Hospital El Guayabo Ho Spital El Guayabo Es Av. Principal El Guayabo Al Lado Del,Zulia,Catatumbo,I
Hospital Francisco Eugenio Bus Tamante Urb. Cuatricentenario Barrio Segunda,Zulia,Maracaibo,II
Hospital Guajira Centro De Diagnostico Integral Paraguaipoa Centros De Diagnóstico Integra L Paraguaipoa Campo San Indigena Bolivariano Av.principal De Paraguaipoa.sector,Zulia,Guajira,II
Hospital Isla De Toas,Zulia,Almirante Padilla,I
Hospital La Concepcion Urdaneta,Zulia,La Cañada De Urdaneta,I
Hospital Matern. Inf. Dr. Rafael Belloso (E ),Zulia,San Francisco,II
Hospital Matern. Inf. Dr. Raul Leoni (E),Zulia,Maracaibo,II
Hospital Ministerio Del Poder Popular Para Las Comunas,Zulia,Maracaibo,II
Hospital Nuestra Señora De Chiquinquira,Zulia,Maracaibo,III
Hospital Nuestra Señora Del Rosario,Zulia,Rosario De Perija,I
Hospital Parroquia Romulo Gallego,Zulia,Sucre,I
Hospital San Rafael De Mara,Zulia,Mara,I
Hospital Santa Barbara,Zulia,Colon,III
Hospital Sinamaica,Zulia,Guajira,I
Hospital UNIVERSITARIO DE MARACAIBO,Zulia,Maracaibo,IV
